article_number,article_description,revenue
264,paris c7+ l57 322 r7h hmb (m),1334
466,ultimate 1.5 c5 h53 884 s5 hmb (m),1019
340,ultimate 1.5 c5 l61 820 s5 hmb,1080
465,medeo t9 h55 822 s9 hmb,740
172,arroyo c5 l46 822 r5s hmb elite belt,903
257,ultimate 1.5 c5 h65 884 s5 hmb (m),841
431,grenoble c8 l57 001 s8 hmb (m),816
298,ultimate c8 l53 888 s8 hmb usa belt (m),839
218,ultimate c8+ l61 375 s8 hmb belt connect,1673
385,arroyo c7+  l42 001 r7h hmb 26w (m),1062
359,ultimate 1.5 c380 l46 820 se hmb usa,1126
251,arroyo c7  l46 886 s7 hmb elite usa,815
205,miss grace c7 l49 691 h7 hmb,1282
417,arroyo c5 l57 621 r5s hmb elite belt (m),1567
464,avignon c8 l57 883 s8 hmb connect (m),1172
310,medeo t10 h60 871 s10 hmb,1113
392,arroyo 1.2 c5 h53 822 r5s hmb elite belt,935
71,avignon c380 l46 899 se hmb belt usa (m),241
463,grenoble c5  l53 822 s5 hmb belt,1268
113,heavydutynl c7+ l54 851 h7 hmb (m),938
142,orange c8 l53 690 h8 hmb connect,710
280,tour pop. h66 001     t8,1104
479,grenoble hmb test  l53 464 s5,734
193,arroyo c5 l49 621 r5s hmb elite belt (m),985
149,orange c8 l49 690 h8 hmb,1607
112,chamonix t10 hms l49 874 s10,1296
191,orange c7+ h65 822 h7 hmb,1294
437,arroyo c7+ l53 480 r7h hmb elite (m),1194
487,miss grace c7+ l49 886 r7h hmb (m),882
386,orange c8 l61 001 h8 hmb (m) connect,525
3,chamonix c7  hms  l61 822 s7,1137
308,grenoble c8 l57 001 s8 hmb (m) connect,952
415,bloom c7  l49 871 s7  hms (m),329
473,paris c7 h61 813 h7 hmb (m),718
494,arroyo c7+ l61 480 r7h hmb (m),1432
295,avignon c380 l49 505 se hmb belt ltd (m),674
443,paris c7+ h61 001 h7 hmb (m),175
32,avignon c380 l57 505 se hmb belt (m),609
275,esprit h64 884 s7 hms (m),1384
173,grenoble  c7+ l46 480 h7 hmb (m),1483
134,paris c7 l53 813 r7h hmb (m),1179
480,ultimate 1.5 t10 h57 822 s10 hmb usa,510
49,grenoble c8 l53 851 s8 hmb,879
318,paris c7+ h61 001 r7h hmb (m),684
159,heavydutynl c5 h59 690 h5 hmb belt,627
16,medeo t9 h60 822 s9 hmb,1191
362,avignon c8 l57 896 s8 hmb connect (m),1257
215,paris c7+ l53 322 h7 hmb (m),1166
146,paris c7+ h57 001 h7 hmb (m),910
408,marco polo t8  h53 874 s8 (m) urban,1165
40,arroyo c7+ l57 001 r7h hmb (m),1123
85,ultimate c380  h53 468 se m hmb sp.belt,583
21,arroyo c7+ l49 480 r7h hmb (m),1315
441,grenoble 1.2 c5 h57 822 s5 hmb belt,1200
241,heavydutynl c5 l64 690 h5 hmb belt,867
322,heavydutynl c7 l59 001 h7 hmb (m),563
338,orange c8 l46 001 h8 (m) hmb,617
84,arroyo 1.2 c5 l53 822 r5s hmb elite belt,907
78,grenoble c8 l61 001 s8 hmb (m) connect,681
373,avignon c8 l49 896 s8 hmb connect (m),688
64,medeo t10  m55 322 s10 hmb,1309
469,grenoble c8 l46 001 s8 hmb (m) connect,1029
430,medeo t10+ m45 690 s10 hmb usa,1673
14,medeo t10 m55 820 s10 hmb usa,1700
70,ultimate t10+  h57 621 s10 hmb usa (m),771
483,orange c8 l46 001 h8 (m) hmb 26w,570
405,avignon c380 l57 505 se hmb belt ltd (m),1164
356,chamonix c5 hms l53 886 s5,1088
419,medeo t10 h45 822 s10 hmb usa,794
37,paris c7+ h53 001 h7 hmb (m),822
161,paris c7+ l57 322 h7 hmb (m),810
154,ultimate 2.0 t11+ l45 886 s11 hmb usa,588
346,medeo t9 city  l45 887 s9 hmb usa,1399
477,arroyo c7  l53 886 s7 hmb elite usa,592
